AccX,Accy,AccZ,GyroX,GyroY,GyroZ,MAGyroX,MAGyroY,MAGyroZ,Gyro_minus_MAGyroX,Gyro_minus_MAGyroY,Gyro_minus_MAGyroZ,AADX,AADY,AADZ,AADM,Categorie
-0.01000,-0.21000,0.97000,-7.05000,-0.42000,-0.85000,-7.01000,-0.21000,-0.86000,-0.04000,-0.21000,0.01000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.97000,-6.93000,-0.31000,-0.89000,-7.01000,-0.22000,-0.86000,0.08000,-0.08000,-0.03000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.97000,-6.97000,-0.23000,-0.90000,-7.00000,-0.22000,-0.85000,0.03000,0.00000,-0.05000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.20000,0.97000,-6.95000,-0.19000,-0.93000,-7.00000,-0.23000,-0.88000,0.06000,0.03000,-0.05000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.97000,-7.07000,-0.22000,-0.78000,-7.01000,-0.24000,-0.87000,-0.05000,0.02000,0.09000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.97000,-7.21000,-0.34000,-0.66000,-7.02000,-0.23000,-0.85000,-0.19000,-0.10000,0.18000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.96000,-6.98000,-0.06000,-0.70000,-7.02000,-0.24000,-0.82000,0.04000,0.18000,0.12000,0.00000,0.00000,0.00000,0.00000,0
-0.02000,-0.21000,0.97000,-7.05000,-0.31000,-0.89000,-7.04000,-0.25000,-0.83000,-0.01000,-0.07000,-0.05000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.97000,-7.01000,-0.22000,-0.84000,-7.04000,-0.25000,-0.84000,0.03000,0.03000,0.00000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.97000,-6.99000,-0.21000,-0.90000,-7.02000,-0.25000,-0.83000,0.03000,0.04000,-0.07000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.97000,-7.08000,-0.22000,-0.82000,-7.03000,-0.23000,-0.83000,-0.06000,0.01000,0.01000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.97000,-7.29000,-0.25000,-0.73000,-7.06000,-0.23000,-0.82000,-0.23000,-0.03000,0.09000,0.00000,0.00000,0.00000,0.00000,0
0.00000,-0.21000,0.97000,-6.98000,-0.27000,-0.87000,-7.06000,-0.23000,-0.81000,0.08000,-0.05000,-0.06000,0.00000,0.00000,0.00000,0.00000,0
